Datetime,Price,Quantity
2024-12-06 09:38:07.485,98303.2,0.041
2024-12-06 09:38:07.485,98303.4,0.002
2024-12-06 09:38:07.485,98303.5,0.002
2024-12-06 09:38:07.485,98303.6,0.651
2024-12-06 09:38:07.485,98303.7,0.019
2024-12-06 09:38:07.485,98303.9,0.005
2024-12-06 09:38:07.485,98304.0,0.222
2024-12-06 09:38:07.485,98304.1,0.002
2024-12-06 09:38:07.485,98304.2,0.041
2024-12-06 09:38:07.485,98304.4,0.002
2024-12-06 09:38:07.485,98304.5,0.041
2024-12-06 09:38:07.485,98304.6,0.002
2024-12-06 09:38:07.485,98304.7,0.006
2024-12-06 09:38:07.485,98305.0,0.006
2024-12-06 09:38:07.485,98305.1,0.019
2024-12-06 09:38:07.485,98305.3,0.002
2024-12-06 09:38:07.485,98305.4,0.002
2024-12-06 09:38:07.485,98305.6,0.041
2024-12-06 09:38:07.485,98305.8,0.005
2024-12-06 09:38:07.485,98306.1,0.042
2024-12-06 09:38:07.485,98306.3,0.024
2024-12-06 09:38:07.485,98306.4,0.06
2024-12-06 09:38:07.485,98306.7,0.006
2024-12-06 09:38:07.485,98306.9,0.067
2024-12-06 09:38:07.485,98307.3,0.002
2024-12-06 09:38:07.485,98307.6,0.046
2024-12-06 09:38:07.485,98307.7,0.002
2024-12-06 09:38:07.485,98308.0,0.041
2024-12-06 09:38:07.485,98308.3,0.006
2024-12-06 09:38:07.485,98308.4,0.648
2024-12-06 09:38:07.485,98308.6,0.203
2024-12-06 09:38:07.485,98308.7,0.002
2024-12-06 09:38:07.485,98308.8,0.332
2024-12-06 09:38:07.485,98309.0,0.052
2024-12-06 09:38:07.485,98309.1,0.007
2024-12-06 09:38:07.485,98309.2,0.152
2024-12-06 09:38:07.485,98309.3,0.011
2024-12-06 09:38:07.485,98309.4,0.005
2024-12-06 09:38:07.485,98309.5,0.062
2024-12-06 09:38:07.485,98309.6,0.041
2024-12-06 09:38:07.485,98309.7,0.002
2024-12-06 09:38:07.485,98309.8,0.002
2024-12-06 09:38:07.485,98309.9,0.121
2024-12-06 09:38:07.485,98310.0,0.093
2024-12-06 09:38:07.485,98310.1,0.222
2024-12-06 09:38:07.527,98302.1,0.006
2024-12-06 09:38:07.527,98303.9,0.052
2024-12-06 09:38:07.618,98303.8,0.003
2024-12-06 09:38:07.655,98303.9,0.373
2024-12-06 09:38:07.685,98309.4,0.009
2024-12-06 09:38:07.697,98309.4,0.015
2024-12-06 09:38:07.743,98309.5,0.096
2024-12-06 09:38:07.810,98309.4,0.015
2024-12-06 09:38:07.873,98309.5,0.008
2024-12-06 09:38:07.903,98309.4,0.052
2024-12-06 09:38:08.061,98309.5,1.291
2024-12-06 09:38:08.061,98310.2,0.008
2024-12-06 09:38:08.061,98310.4,0.006
2024-12-06 09:38:08.061,98310.9,0.121
2024-12-06 09:38:08.061,98311.0,0.046
2024-12-06 09:38:08.061,98311.2,0.425
2024-12-06 09:38:08.517,98311.1,0.072
2024-12-06 09:38:08.745,98311.2,0.01
2024-12-06 09:38:08.974,98311.2,0.001
2024-12-06 09:38:09.095,98311.2,0.002
2024-12-06 09:38:09.244,98311.1,0.006
2024-12-06 09:38:09.355,98311.2,0.003
2024-12-06 09:38:09.744,98311.2,0.057
2024-12-06 09:38:09.785,98311.1,0.018
2024-12-06 09:38:09.957,98311.2,0.164
2024-12-06 09:38:09.969,98311.1,0.002
2024-12-06 09:38:10.260,98311.2,0.012
2024-12-06 09:38:10.679,98311.2,0.2
2024-12-06 09:38:10.894,98311.1,0.01
2024-12-06 09:38:11.049,98311.2,0.068
2024-12-06 09:38:11.243,98311.2,0.065
2024-12-06 09:38:11.294,98311.1,0.003
2024-12-06 09:38:11.824,98311.1,0.002
2024-12-06 09:38:11.936,98311.2,0.03
2024-12-06 09:38:12.540,98311.1,0.002
2024-12-06 09:38:12.720,98311.2,0.047
2024-12-06 09:38:12.803,98311.1,1.995
2024-12-06 09:38:13.032,98311.2,0.003
2024-12-06 09:38:13.242,98311.1,0.052
2024-12-06 09:38:13.403,98311.1,0.002
2024-12-06 09:38:13.511,98311.2,0.026
2024-12-06 09:38:13.834,98311.2,0.006
2024-12-06 09:38:13.838,98311.1,0.032
2024-12-06 09:38:14.309,98311.2,0.061
2024-12-06 09:38:14.343,98311.1,0.137
2024-12-06 09:38:14.564,98311.2,0.001
2024-12-06 09:38:14.586,98311.1,0.007
2024-12-06 09:38:15.563,98311.1,0.003
2024-12-06 09:38:15.856,98311.1,0.908
2024-12-06 09:38:15.858,98309.4,0.124
