Datetime,Open Interest
2024-12-16 21:18:03,95747.06
2024-12-16 21:18:14,95757.479
2024-12-16 21:18:28,95758.978
2024-12-16 21:18:37,95791.332
2024-12-16 21:18:49,95828.222
2024-12-16 21:19:02,95821.516
2024-12-16 21:19:10,95821.367
2024-12-16 21:19:22,95824.637
2024-12-16 21:19:34,95847.707
2024-12-16 21:19:46,95850.953
2024-12-16 21:19:58,95884.213
2024-12-16 21:20:07,95911.764
2024-12-16 21:20:20,95946.101
2024-12-16 21:20:32,95947.132
2024-12-16 21:20:38,95947.38
2024-12-16 21:20:53,95878.215
2024-12-16 21:21:05,95871.268
2024-12-16 21:21:18,95873.932
2024-12-17 14:16:23,94711.751
2024-12-23 14:48:08,88038.865
2024-12-23 14:48:23,88041.141
2024-12-23 14:48:32,88041.851
2024-12-23 14:48:43,88044.346
2024-12-23 14:48:56,88048.343
2024-12-23 14:49:07,88052.448
2024-12-23 14:49:18,88056.975
2024-12-23 14:49:26,88056.354
2024-12-23 14:49:39,88060.746
2024-12-23 14:49:54,88060.039
2024-12-23 20:09:05,88303.87
