Price,Quantity,Datetime,Type
101152.9,1.447,2024-12-14 01:17:19,Bid
101152.8,1.043,2024-12-14 01:17:19,Bid
101152.7,0.004,2024-12-14 01:17:19,Bid
101152.5,1.497,2024-12-14 01:17:19,Bid
101152.0,0.209,2024-12-14 01:17:19,Bid
101151.8,0.002,2024-12-14 01:17:19,Bid
101151.6,0.028,2024-12-14 01:17:19,Bid
101151.5,0.006,2024-12-14 01:17:19,Bid
101151.4,0.016,2024-12-14 01:17:19,Bid
101151.3,0.003,2024-12-14 01:17:19,Bid
101151.0,0.014,2024-12-14 01:17:19,Bid
101150.9,0.002,2024-12-14 01:17:19,Bid
101150.8,0.015,2024-12-14 01:17:19,Bid
101150.7,0.004,2024-12-14 01:17:19,Bid
101150.6,0.017,2024-12-14 01:17:19,Bid
101150.5,0.016,2024-12-14 01:17:19,Bid
101150.4,0.003,2024-12-14 01:17:19,Bid
101150.3,0.006,2024-12-14 01:17:19,Bid
101150.2,0.743,2024-12-14 01:17:19,Bid
101150.1,0.794,2024-12-14 01:17:19,Bid
101150.0,0.749,2024-12-14 01:17:19,Bid
101149.9,0.01,2024-12-14 01:17:19,Bid
101149.6,1.58,2024-12-14 01:17:19,Bid
101149.5,0.015,2024-12-14 01:17:19,Bid
101149.3,0.022,2024-12-14 01:17:19,Bid
101149.2,0.302,2024-12-14 01:17:19,Bid
101149.1,0.034,2024-12-14 01:17:19,Bid
101149.0,0.02,2024-12-14 01:17:19,Bid
101148.9,0.022,2024-12-14 01:17:19,Bid
101148.8,0.001,2024-12-14 01:17:19,Bid
101148.7,0.001,2024-12-14 01:17:19,Bid
101148.5,0.016,2024-12-14 01:17:19,Bid
101148.4,0.148,2024-12-14 01:17:19,Bid
101148.3,0.898,2024-12-14 01:17:19,Bid
101148.2,0.007,2024-12-14 01:17:19,Bid
101148.1,2.5,2024-12-14 01:17:19,Bid
101148.0,0.054,2024-12-14 01:17:19,Bid
101147.9,0.05,2024-12-14 01:17:19,Bid
